osm_id,name,WIKIDATA,ISO3166-2,type,MS_FB_PARE,MS_FB
389882,Alto Paraguay,Q51830063,PY-16,departamento,country:py,country:py/chamber-constituency:alto-paraguay
389883,Boquerón,Q51830062,PY-19,departamento,country:py,country:py/chamber-constituency:boqueron
389884,Presidente Hayes,Q51830060,PY-15,departamento,country:py,country:py/chamber-constituency:presidente-hayes
389885,Concepción,Q51830034,PY-1,departamento,country:py,country:py/chamber-constituency:concepcion
389886,Amambay,Q51830056,PY-13,departamento,country:py,country:py/chamber-constituency:amambay
389887,San Pedro,Q51830036,PY-2,departamento,country:py,country:py/chamber-constituency:san-pedro
389888,Canindeyú,Q51830059,PY-14,departamento,country:py,country:py/chamber-constituency:canindeyu
389889,Cordillera,Q51830037,PY-3,departamento,country:py,country:py/chamber-constituency:cordillera
389890,Caaguazú,Q51830039,PY-5,departamento,country:py,country:py/chamber-constituency:caaguazu
389891,Alto Paraná,Q51830052,PY-10,departamento,country:py,country:py/chamber-constituency:alto-parana
389892,Departamento Central,Q51830053,PY-11,departamento,country:py,country:py/chamber-constituency:central
389893,Paraguarí,Q51830051,PY-9,departamento,country:py,country:py/chamber-constituency:paraguari
389894,Guairá,Q51830038,PY-4,departamento,country:py,country:py/chamber-constituency:guaira
389895,Ñeembucú,Q51830055,PY-12,departamento,country:py,country:py/chamber-constituency:neembucu
389896,Misiones,Q51830043,PY-8,departamento,country:py,country:py/chamber-constituency:misiones
389897,Caazapá,Q51830040,PY-6,departamento,country:py,country:py/chamber-constituency:caazapa
389898,Itapúa,Q51830041,PY-7,departamento,country:py,country:py/chamber-constituency:itapua
3654543,Distrito Capital de Paraguay,Q51830033,PY-ASU,distrito capital,country:py,country:py/chamber-constituency:distrito-capital-de-paraguay
